ODDS1,ODDS2,ODDS3,win,place,placeodd,rank,Band,PChange,,,,,,,%
5.4,4.2,5.8,279,206,2.3,6,0,38%,,,,,,,
14,87,99,9,10,47,7,0,14%,,,,,,,
64,56,99,16,17,27,8,0,77%,,,,,,,
8,14,21,76,101,4.7,9,0,50%,,,,,,,
33,51,90,17,19,24,10,0,76%,,,,,,,
99,99,99,7,11,42,11,0,0%,,,,,,,
16,17,11,143,105,4.5,12,0,-35%,,,,,,,
8.3,10,16,100,110,4.3,13,0,60%,,,,,,,
17,21,12,133,98,4.8,14,0,-43%,,,,,,,
3,2.6,2.2,887,353,1.4,1,1,-15%,,,,,,,
10,10,12,156,201,2.5,2,1,20%,,,,,,,
19,35,49,39,67,7.6,3,1,40%,,,,,,,
7.2,7,4.7,414,302,1.7,4,0,-33%,,,,,,,
18,85,99,13,17,29,5,0,16%,,,,,,,
31,36,49,39,56,9.1,6,0,36%,,,,,,,
7.7,4.5,6.8,285,218,2.3,7,0,51%,,,,,,,
43,54,87,22,37,13,8,0,61%,,,,,,,
80,99,99,9,15,32,9,0,0%,,,,,,,
33,21,37,52,58,8.9,10,0,76%,,,,,,,
6.4,13,17,108,155,3.3,11,0,31%,,,,,,,
227,99,99,3,9,57,12,0,0%,,,,,,,
41,38,55,35,50,10,13,0,45%,,,,,,,
8.2,7.9,6.6,293,337,1.5,14,0,-16%,,,,,,,
3.2,2.8,2.4,619,319,1.5,1,1,-14%,,,,,,,
4.8,4.4,4.8,316,324,1.5,2,1,9%,,,,,,,
27,37,43,34,48,10,3,1,16%,,,,,,,
85,80,86,17,29,16,4,0,8%,,,,,,,
38,22,13,114,174,2.8,5,0,-41%,,,,,,,
12,13,10,142,180,2.7,6,0,-23%,,,,,,,
11,6,7.2,210,213,2.3,7,0,20%,,,,,,,
24,32,32,46,73,6.7,8,0,0%,,,,,,,
17,58,79,19,23,20,9,0,36%,,,,,,,
38,41,41,36,55,8.9,10,0,0%,,,,,,,
4.8,7.1,8,190,206,2.3,11,0,13%,,,,,,,
26,26,43,35,48,10,12,0,65%,,,,,,,
16,21,31,47,66,7.3,13,0,48%,,,,,,,
85,87,99,13,18,26,14,0,14%,,,,,,,
3,2.4,3.6,567,403,1.3,1,1,50%,,,,,,,
40,16,10,195,240,2.1,2,1,-38%,,,,,,,
10,8.5,9.2,223,228,2.2,3,1,8%,,,,,,,
76,99,99,12,23,21,4,0,0%,,,,,,,
3.7,3.6,2.4,842,392,1.3,5,0,-33%,,,,,,,
68,99,92,22,39,13,6,0,-7%,,,,,,,
16,40,64,32,55,9.2,7,0,60%,,,,,,,
4.4,4.5,4.2,486,303,1.7,8,0,-7%,,,,,,,
19,57,99,20,32,15,9,0,74%,,,,,,,
69,70,99,20,36,14,10,0,41%,,,,,,,
27,36,43,47,73,7,11,0,19%,,,,,,,
75,99,99,8,13,39,12,0,0%,,,,,,,
49,99,99,11,22,23,13,0,0%,,,,,,,
21,99,99,9,14,35,14,0,0%,,,,,,,
2.4,1.9,2.2,906,448,1.2,1,1,16%,,,,,,,
7,5.6,5.4,362,241,2.2,2,1,-4%,,,,,,,
13,20,9.7,204,235,2.2,3,1,-52%,,,,,,,
24,72,99,18,24,21,4,0,38%,,,,,,,
15,12,14,139,188,2.8,5,0,17%,,,,,,,
7.8,8.8,11,178,188,2.8,5,0,25%,,,,,,,
13,23,20,97,87,6,7,0,-13%,,,,,,,
41,99,99,10,16,32,8,0,0%,,,,,,,
25,44,50,39,59,8.8,9,0,14%,,,,,,,
11,9.4,10,180,171,3.1,10,0,6%,,,,,,,
89,95,58,33,63,8.4,11,0,-39%,,,,,,,
127,99,99,5,7,71,12,0,0%,,,,,,,
11,15,9.1,217,181,2.9,13,0,-39%,,,,,,,
65,99,99,7,11,46,14,0,0%,,,,,,,
3.4,2.4,2.2,1028,378,1.4,1,1,-8%,,,,,,,
15,19,13,168,216,2.5,2,1,-32%,,,,,,,
2.2,2.5,2.8,809,541,1,3,1,12%,,,,,,,
8,11,16,137,193,2.8,4,0,45%,,,,,,,
98,99,99,18,34,15,5,0,0%,,,,,,,
9.6,6.3,7.3,309,262,2.1,6,0,16%,,,,,,,
34,40,45,49,80,6.7,7,0,13%,,,,,,,
47,99,99,16,27,19,8,0,0%,,,,,,,
22,35,35,63,83,6.5,9,0,0%,,,,,,,
21,25,17,129,161,3.3,10,0,-32%,,,,,,,
21,42,21,102,104,5.1,1,1,-50%,,,,,,,
3.4,1.9,2.4,911,457,1.2,2,1,26%,,,,,,,
4.4,4.1,4.9,452,312,1.7,3,1,20%,,,,,,,
7,7.6,4.8,461,318,1.7,4,0,-37%,,,,,,,
10,7.9,7.2,310,229,2.3,5,0,-9%,,,,,,,
8.1,30,22,97,145,3.7,6,0,-27%,,,,,,,
11,21,11,194,173,3.1,7,0,-48%,,,,,,,
7,19,15,141,157,3.4,8,0,-21%,,,,,,,
49,99,99,9,13,39,9,0,0%,,,,,,,
46,88,99,15,23,22,10,0,13%,,,,,,,
68,99,99,11,21,25,11,0,0%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
2.7,1.5,1.9,1329,527,1.2,1,1,27%,,,,,,,
7.8,7.7,5.2,480,353,1.7,2,1,-32%,,,,,,,
5,18,14,172,194,3.2,3,1,-22%,,,,,,,
30,93,99,16,26,23,4,0,6%,,,,,,,
20,19,9.4,268,227,2.7,5,0,-51%,,,,,,,
31,96,99,16,25,24,6,0,3%,,,,,,,
39,42,64,39,42,14,7,0,52%,,,,,,,
9.6,10,11,218,246,2.5,8,0,10%,,,,,,,
103,99,99,11,18,32,9,0,0%,,,,,,,
15,17,15,161,198,3.1,10,0,-12%,,,,,,,
9.7,12,10,230,250,2.5,11,0,-17%,,,,,,,
21,41,34,72,100,6.2,12,0,-17%,,,,,,,
99,99,99,9,13,46,13,0,0%,,,,,,,
29,56,84,29,40,15,14,0,50%,,,,,,,
9,14,13,182,174,3.7,1,1,-7%,,,,,,,
3.2,2.5,3.3,775,418,1.5,2,1,32%,,,,,,,
4.5,4.2,4.1,611,378,1.7,3,1,-2%,,,,,,,
7.8,6.2,5.8,436,393,1.6,4,0,-6%,,,,,,,
11,20,19,130,135,4.7,5,0,-5%,,,,,,,
12,10,6.4,397,255,2.5,6,0,-36%,,,,,,,
29,37,37,67,74,8.6,7,0,0%,,,,,,,
14,18,10,231,225,2.8,8,0,-44%,,,,,,,
15,35,39,64,86,7.4,9,0,11%,,,,,,,
65,80,99,20,26,24,10,0,24%,,,,,,,
16,16,18,139,139,4.6,11,0,13%,,,,,,,
94,99,99,6,9,69,12,0,0%,,,,,,,
60,99,99,8,11,58,13,0,0%,,,,,,,
93,99,99,9,15,41,14,0,0%,,,,,,,
19,15,12,97,99,4,1,1,-20%,,,,,,,
16,15,18,67,70,5.7,2,1,20%,,,,,,,
12,10,9.7,128,148,2.7,3,1,-3%,,,,,,,
8.6,8.4,8.6,145,152,2.6,4,0,2%,,,,,,,
5,5.3,4.2,295,241,1.7,5,0,-21%,,,,,,,
7.2,7.3,8.6,144,141,2.8,6,0,18%,,,,,,,
11,9.9,7.8,159,182,2.2,7,0,-21%,,,,,,,
24,19,19,64,71,5.6,8,0,0%,,,,,,,
20,20,27,45,51,7.8,9,0,35%,,,,,,,
21,27,27,44,46,8.6,10,0,0%,,,,,,,
3.2,3.6,4.2,292,228,1.7,11,0,17%,,,,,,,
30,36,42,29,35,11,12,0,17%,,,,,,,
4.4,2.7,2,908,394,1.3,1,1,-26%,,,,,,,
14,11,19,94,142,3.6,2,1,73%,,,,,,,
6.2,5.5,4.8,381,330,1.5,3,1,-13%,,,,,,,
13,11,14,128,151,3.4,4,0,27%,,,,,,,
24,12,17,103,116,4.4,5,0,42%,,,,,,,
11,12,11,164,195,2.6,6,0,-8%,,,,,,,
5.2,30,40,45,63,8.2,7,0,33%,,,,,,,
83,83,99,14,22,22,8,0,19%,,,,,,,
5.4,6.3,10,171,211,2.4,9,0,59%,,,,,,,
75,25,43,41,63,8,9,0,72%,,,,,,,
7.1,11,11,160,177,2.9,11,0,0%,,,,,,,
112,99,99,5,8,58,12,0,0%,,,,,,,
8.2,14,7.4,204,224,2.5,1,1,-47%,,,,,,,
18,15,12,125,171,3.3,2,1,-20%,,,,,,,
4.9,5.6,5.3,285,259,2.2,3,1,-5%,,,,,,,
33,14,8.6,177,180,3.1,3,1,-39%,,,,,,,
33,17,21,69,84,6.8,5,0,24%,,,,,,,
8.2,7.9,10,140,161,3.5,6,0,27%,,,,,,,
5.2,3,3.9,384,365,1.5,7,0,30%,,,,,,,
12,11,15,97,125,4.5,8,0,36%,,,,,,,
5,11,11,135,185,3.1,9,0,0%,,,,,,,
12,13,16,91,129,4.4,10,0,23%,,,,,,,
66,55,33,45,67,8.4,11,0,-40%,,,,,,,
13,17,16,92,122,4.6,12,0,-6%,,,,,,,
9.3,12,8.2,271,255,2.5,1,1,-32%,,,,,,,
11,14,19,116,128,5,2,1,36%,,,,,,,
8.5,10,7.2,307,263,2.4,3,1,-28%,,,,,,,
57,57,96,23,30,21,4,0,68%,,,,,,,
3.2,2.8,3.3,675,434,1.5,5,0,18%,,,,,,,
5.4,11,16,138,163,4,6,0,45%,,,,,,,
7.2,5.8,4.6,481,325,2,7,0,-21%,,,,,,,
31,19,8.6,257,242,2.6,8,0,-55%,,,,,,,
20,57,92,24,34,18,9,0,61%,,,,,,,
12,6.1,8,278,300,2.1,10,0,31%,,,,,,,
53,70,99,16,23,27,11,0,41%,,,,,,,
16,12,19,114,159,4,12,0,58%,,,,,,,
5.9,4.8,4.6,323,295,1.7,1,1,-4%,,,,,,,
16,10,6,244,243,2,2,1,-40%,,,,,,,
35,49,56,26,34,14,3,1,14%,,,,,,,
5.1,3.9,4.4,337,297,1.6,4,0,13%,,,,,,,
11,11,10,145,158,3.1,5,0,-9%,,,,,,,
11,12,13,111,125,3.9,6,0,8%,,,,,,,
12,16,25,57,80,6.2,7,0,56%,,,,,,,
13,16,18,81,97,5.1,8,0,13%,,,,,,,
3.8,4.8,5.2,284,251,2,9,0,8%,,,,,,,
17,16,15,96,115,4.3,10,0,-6%,,,,,,,
9.2,11,16,90,112,4.4,11,0,45%,,,,,,,
17,14,19,88,131,4,1,1,36%,,,,,,,
5.6,9.9,11,147,181,2.9,2,1,11%,,,,,,,
2.4,1.9,2,851,403,1.3,3,1,5%,,,,,,,
11,14,11,149,205,2.5,4,0,-21%,,,,,,,
22,23,25,69,109,4.8,5,0,9%,,,,,,,
11,9.4,5.4,320,235,2.2,6,0,-43%,,,,,,,
20,29,37,46,78,6.7,7,0,28%,,,,,,,
36,29,35,49,71,7.4,8,0,21%,,,,,,,
9.2,25,17,98,129,4,9,0,-32%,,,,,,,
11,7.8,9.1,190,237,2.2,10,0,17%,,,,,,,
17,14,20,83,104,5,11,0,43%,,,,,,,
66,71,99,16,26,19,12,0,39%,,,,,,,
10,11,11,179,239,2.5,1,1,0%,,,,,,,
7.9,6.5,5.6,378,362,1.6,2,1,-14%,,,,,,,
12,31,35,60,100,5.9,3,1,13%,,,,,,,
9.4,11,16,128,200,2.9,4,0,45%,,,,,,,
14,18,14,143,226,2.6,5,0,-22%,,,,,,,
17,16,15,134,220,2.7,6,0,-6%,,,,,,,
2.1,1.6,1.5,1379,523,1.1,7,0,-6%,,,,,,,
11,12,16,131,216,2.7,8,0,33%,,,,,,,
12,28,46,45,62,9.5,9,0,64%,,,,,,,
43,99,99,11,18,32,10,0,0%,,,,,,,
4,3.2,2.6,941,539,1.3,1,1,-19%,,,,,,,
6.6,4.4,3.8,662,504,1.4,2,1,-14%,,,,,,,
11,9.2,9.3,268,294,2.5,3,1,1%,,,,,,,
35,42,36,68,89,8.2,4,0,-14%,,,,,,,
29,35,33,74,60,12,5,0,-6%,,,,,,,
8.3,9.2,8,312,329,2.2,6,0,-13%,,,,,,,
6,7.7,10,247,295,2.5,7,0,30%,,,,,,,
6.3,11,12,195,219,3.3,8,0,9%,,,,,,,
24,50,68,36,53,13,9,0,36%,,,,,,,
15,10,15,161,187,3.9,10,0,50%,,,,,,,
25,31,36,68,96,7.6,11,0,16%,,,,,,,
13,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
11,6.7,8.5,339,330,2.5,1,1,27%,,,,,,,
9.8,11,14,203,291,2.9,2,1,27%,,,,,,,
4.6,3.5,2.5,1155,620,1.3,3,1,-29%,,,,,,,
19,16,11,243,290,2.9,4,0,-31%,,,,,,,
26,53,86,33,37,22,5,0,62%,,,,,,,
6.8,10,10,279,278,3,6,0,0%,,,,,,,
6.5,6.4,8.2,353,313,2.7,7,0,28%,,,,,,,
14,50,70,40,53,16,8,0,40%,,,,,,,
21,41,66,43,70,12,9,0,61%,,,,,,,
28,25,40,71,117,7.2,10,0,60%,,,,,,,
4.8,4.2,4.6,627,530,1.6,11,0,10%,,,,,,,
19,24,25,112,157,5.4,12,0,4%,,,,,,,
3.2,2.9,3.8,463,270,1.7,1,1,31%,,,,,,,
6.8,6.8,4.9,364,282,1.6,2,1,-28%,,,,,,,
10,5.2,3.7,482,277,1.6,3,1,-29%,,,,,,,
38,39,53,33,41,10,4,0,36%,,,,,,,
7.4,7.9,10,166,134,3.4,5,0,27%,,,,,,,
103,93,99,10,16,26,6,0,6%,,,,,,,
159,99,99,8,17,26,7,0,0%,,,,,,,
41,52,86,20,33,13,8,0,65%,,,,,,,
15,19,19,91,93,4.8,9,0,0%,,,,,,,
4.7,6,6.3,280,238,1.9,10,0,5%,,,,,,,
9.4,14,10,172,163,2.8,11,0,-29%,,,,,,,
25,26,34,51,56,8,12,0,31%,,,,,,,
123,99,99,5,7,57,13,0,0%,,,,,,,
39,78,99,10,16,26,14,0,27%,,,,,,,
3.2,2.5,2.9,520,313,1.3,1,1,16%,,,,,,,
5.6,5,4.1,371,253,1.7,2,1,-18%,,,,,,,
22,19,21,71,79,5.3,3,1,11%,,,,,,,
34,49,72,21,29,14,4,0,47%,,,,,,,
20,17,6.6,231,192,2.2,5,0,-61%,,,,,,,
6,8.5,5.8,266,233,1.8,6,0,-32%,,,,,,,
15,22,22,68,67,6.3,7,0,0%,,,,,,,
20,31,41,37,48,8.7,8,0,32%,,,,,,,
11,18,20,75,77,5.4,9,0,11%,,,,,,,
16,11,11,138,163,2.6,10,0,0%,,,,,,,
31,62,84,18,26,16,11,0,35%,,,,,,,
107,99,99,7,11,37,12,0,0%,,,,,,,
31,28,36,42,48,8.8,13,0,29%,,,,,,,
10,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
12,16,11,144,132,3.5,1,1,-31%,,,,,,,
56,99,81,19,34,13,2,1,-18%,,,,,,,
3.8,3.8,3.4,481,342,1.3,3,1,-11%,,,,,,,
24,39,37,43,64,7.2,4,0,-5%,,,,,,,
7.1,8.5,7.9,204,183,2.5,5,0,-7%,,,,,,,
7,11,11,140,155,3,6,0,0%,,,,,,,
3.8,2.2,3,542,349,1.3,7,0,36%,,,,,,,
12,13,9.6,170,127,3.6,8,0,-26%,,,,,,,
41,94,99,16,22,20,9,0,5%,,,,,,,
36,51,31,51,67,6.9,10,0,-39%,,,,,,,
25,25,16,99,104,4.4,11,0,-36%,,,,,,,
26,35,43,37,61,7.5,12,0,23%,,,,,,,
21,86,92,17,22,20,13,0,7%,,,,,,,
109,99,99,8,13,33,14,0,0%,,,,,,,
4.4,4.1,3.5,503,371,1.3,1,1,-15%,,,,,,,
3.3,2.4,2.6,665,335,1.5,2,1,8%,,,,,,,
4.4,6,6.9,255,262,1.9,3,1,15%,,,,,,,
41,32,30,57,104,4.7,4,0,-6%,,,,,,,
31,41,60,29,40,12,5,0,46%,,,,,,,
99,99,99,9,16,30,6,0,0%,,,,,,,
14,35,58,30,44,11,7,0,66%,,,,,,,
26,28,11,159,118,4.2,8,0,-61%,,,,,,,
87,92,99,8,13,36,9,0,8%,,,,,,,
13,15,27,65,73,6.7,10,0,80%,,,,,,,
153,99,99,7,16,30,11,0,0%,,,,,,,
25,15,9,196,200,2.5,12,0,-40%,,,,,,,
7,8.4,12,144,189,2.6,13,0,43%,,,,,,,
77,99,99,11,21,23,14,0,0%,,,,,,,
5.9,5.9,4.4,392,319,1.7,1,1,-25%,,,,,,,
8.4,7.6,3.6,480,354,1.6,2,1,-53%,,,,,,,
10,9.2,16,105,114,4.8,3,1,74%,,,,,,,
5.3,4.4,6.1,279,253,2.2,4,0,39%,,,,,,,
65,46,44,38,73,7.6,5,0,-4%,,,,,,,
15,14,10,159,161,3.4,6,0,-29%,,,,,,,
6.4,6.7,10,166,200,2.8,7,0,49%,,,,,,,
29,69,99,17,29,19,8,0,43%,,,,,,,
35,34,52,33,43,12,9,0,53%,,,,,,,
40,56,70,24,31,17,10,0,25%,,,,,,,
52,62,78,21,39,14,11,0,26%,,,,,,,
91,99,99,7,16,32,12,0,0%,,,,,,,
9.8,11,19,86,101,5.5,13,0,73%,,,,,,,
5.5,6,6.3,272,293,1.9,14,0,5%,,,,,,,
10,9.5,13,152,168,3.1,1,1,37%,,,,,,,
3.5,2,1.8,1121,389,1.3,2,1,-10%,,,,,,,
11,38,40,50,92,5.7,3,1,5%,,,,,,,
12,9.4,6.9,298,300,1.7,4,0,-27%,,,,,,,
6.4,6.1,6.6,313,288,1.8,5,0,8%,,,,,,,
10,18,21,95,122,4.2,6,0,17%,,,,,,,
51,76,95,21,31,16,7,0,25%,,,,,,,
13,16,21,95,143,3.6,8,0,31%,,,,,,,
13,22,32,63,107,4.8,9,0,45%,,,,,,,
79,82,47,43,60,8.7,10,0,-43%,,,,,,,
121,99,99,8,14,36,11,0,0%,,,,,,,
87,99,99,6,9,58,12,0,0%,,,,,,,
4.8,7.7,9.1,226,169,3.1,13,0,18%,,,,,,,
201,99,99,5,8,62,14,0,0%,,,,,,,
2.8,2.1,2,1023,472,1.1,1,1,-5%,,,,,,,
4.6,3.3,3.8,548,414,1.3,2,1,15%,,,,,,,
9.1,7.5,6.7,310,272,2,3,1,-11%,,,,,,,
6.2,11,13,158,187,2.9,4,0,18%,,,,,,,
78,99,99,16,29,18,5,0,0%,,,,,,,
12,13,11,174,208,2.6,6,0,-15%,,,,,,,
13,19,27,75,123,4.4,7,0,42%,,,,,,,
31,47,53,38,53,10,8,0,13%,,,,,,,
9.3,22,17,119,146,3.7,9,0,-23%,,,,,,,
30,99,73,28,39,14,10,0,-26%,,,,,,,
75,99,99,13,21,25,11,0,0%,,,,,,,
90,99,99,13,18,29,12,0,0%,,,,,,,
128,99,99,5,8,66,13,0,0%,,,,,,,
35,21,20,117,176,3.2,1,1,-5%,,,,,,,
26,27,11,213,228,2.5,2,1,-59%,,,,,,,
100,99,99,23,37,15,3,1,0%,,,,,,,
10,12,7.3,330,294,1.9,4,0,-39%,,,,,,,
10,10,9.1,264,220,2.6,5,0,-9%,,,,,,,
12,6.2,9.7,248,217,2.6,6,0,56%,,,,,,,
31,71,80,29,41,13,7,0,13%,,,,,,,
39,89,99,21,29,19,8,0,11%,,,,,,,
7.5,4.9,3.8,628,347,1.6,9,0,-22%,,,,,,,
38,86,98,24,49,11,10,0,14%,,,,,,,
165,99,99,5,8,68,11,0,0%,,,,,,,
1.8,1.8,2.4,1009,405,1.4,12,0,33%,,,,,,,
82,99,99,11,17,32,13,0,0%,,,,,,,
21,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
22,25,42,65,91,6.1,1,1,68%,,,,,,,
15,12,8.8,319,259,2.1,2,1,-27%,,,,,,,
34,20,12,221,213,2.6,3,1,-40%,,,,,,,
51,45,69,40,64,8.6,4,0,53%,,,,,,,
8.8,7.5,5.3,523,393,1.4,5,0,-29%,,,,,,,
61,53,62,44,52,10,6,0,17%,,,,,,,
105,57,79,35,44,12,7,0,39%,,,,,,,
1.2,1.4,1.5,1839,482,1.1,8,0,7%,,,,,,,
107,81,99,16,25,21,9,0,22%,,,,,,,
44,27,27,101,122,4.5,10,0,0%,,,,,,,
117,99,99,7,11,48,11,0,0%,,,,,,,
31,99,99,20,27,20,12,0,0%,,,,,,,
41,18,19,142,188,2.9,13,0,6%,,,,,,,
70,91,94,29,44,12,14,0,3%,,,,,,,
4.4,3.1,2.5,1431,719,1.3,1,1,-19%,,,,,,,
4.8,5.4,4.8,766,535,1.7,2,1,-11%,,,,,,,
8.2,19,18,199,204,4.5,3,1,-5%,,,,,,,
22,8.5,9.4,390,344,2.7,4,0,11%,,,,,,,
39,28,33,111,132,7,5,0,18%,,,,,,,
18,22,34,108,123,7.4,6,0,55%,,,,,,,
27,47,67,54,57,16,7,0,43%,,,,,,,
12,16,25,145,170,5.4,8,0,56%,,,,,,,
10,9,14,249,303,3,9,0,56%,,,,,,,
27,39,58,63,71,12,10,0,49%,,,,,,,
82,99,99,8,10,89,11,0,0%,,,,,,,
11,11,11,310,277,3.3,12,0,0%,,,,,,,
38,63,99,36,45,20,13,0,57%,,,,,,,
6.5,7.2,6.2,587,366,2.5,14,0,-14%,,,,,,,
24,25,12,137,144,3.9,1,1,-52%,,,,,,,
19,25,10,155,168,3.3,2,1,-60%,,,,,,,
14,9.6,8.8,191,188,3,3,1,-8%,,,,,,,
11,14,14,114,135,4.1,4,0,0%,,,,,,,
48,25,20,83,106,5.3,5,0,-20%,,,,,,,
20,33,28,58,77,7.2,6,0,-15%,,,,,,,
6.1,6.4,5.2,319,319,1.7,7,0,-19%,,,,,,,
17,23,10,158,157,3.6,8,0,-57%,,,,,,,
4.4,7.3,6.1,274,266,2.1,9,0,-16%,,,,,,,
22,25,14,112,142,3.9,10,0,-44%,,,,,,,
7.6,5.4,3.9,428,340,1.6,11,0,-28%,,,,,,,
3.8,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
13,10,13,139,166,3.5,1,1,30%,,,,,,,
2.6,2.6,2.9,658,437,1.3,2,1,12%,,,,,,,
49,43,63,30,36,16,3,1,47%,,,,,,,
15,10,8.6,222,240,2.4,4,0,-14%,,,,,,,
8.3,15,20,92,118,5,5,0,33%,,,,,,,
18,13,17,112,128,4.6,6,0,31%,,,,,,,
39,40,44,43,63,9.3,7,0,10%,,,,,,,
9.6,10,10,177,184,3.2,8,0,0%,,,,,,,
54,33,48,39,55,10,9,0,45%,,,,,,,
5,5.5,4.1,463,432,1.3,10,0,-25%,,,,,,,
10,9.5,6.4,298,223,2.6,11,0,-33%,,,,,,,
24,23,34,55,66,8.9,12,0,48%,,,,,,,
6.3,4.9,4.5,467,429,1.4,1,1,-8%,,,,,,,
6.4,8.5,10,195,239,2.5,2,1,18%,,,,,,,
9.2,8.9,14,147,173,3.4,3,1,57%,,,,,,,
9,9.8,7.8,267,276,2.1,4,0,-20%,,,,,,,
16,16,19,108,126,4.7,5,0,19%,,,,,,,
4.8,2.8,2.4,881,407,1.4,6,0,-14%,,,,,,,
96,99,99,10,16,35,7,0,0%,,,,,,,
14,17,21,97,116,5.1,8,0,24%,,,,,,,
6,10,9.5,221,195,3,9,0,-5%,,,,,,,
43,66,78,26,42,14,10,0,18%,,,,,,,
86,95,96,21,41,14,11,0,1%,,,,,,,
7.7,12,20,102,103,5.7,12,0,67%,,,,,,,
4.8,4,2.9,675,485,1,1,1,-28%,,,,,,,
7.6,6.3,5.9,336,248,2.1,2,1,-6%,,,,,,,
25,22,29,68,77,6.7,3,1,32%,,,,,,,
2.2,2.8,3.5,566,313,1.6,4,0,25%,,,,,,,
14,9.9,11,174,174,3,5,0,11%,,,,,,,
18,15,13,146,148,3.5,6,0,-13%,,,,,,,
40,40,46,42,55,9.3,7,0,15%,,,,,,,
44,59,65,30,41,12,8,0,10%,,,,,,,
19,22,15,128,82,6.3,9,0,-32%,,,,,,,
15,18,28,70,87,5.9,10,0,56%,,,,,,,
15,18,22,88,99,5.2,11,0,22%,,,,,,,
21,19,26,73,69,7.4,12,0,37%,,,,,,,
8.4,6.9,7.6,323,314,2.4,1,1,10%,,,,,,,
7.2,9.8,10,229,260,2.9,2,1,2%,,,,,,,
3.4,2.9,2.7,920,561,1.3,3,1,-7%,,,,,,,
10,8.2,6.2,396,362,2.1,4,0,-24%,,,,,,,
59,35,55,44,57,13,5,0,57%,,,,,,,
43,99,99,12,19,38,6,0,0%,,,,,,,
3.9,5.8,4.7,520,474,1.6,7,0,-19%,,,,,,,
36,25,33,74,123,6.1,8,0,32%,,,,,,,
40,99,99,12,25,29,9,0,0%,,,,,,,
6.4,5,7.9,314,342,2.2,10,0,58%,,,,,,,
22,21,16,151,187,4,11,0,-24%,,,,,,,
101,99,99,6,10,71,12,0,0%,,,,,,,
7.1,7.4,4,537,356,1.7,1,1,-46%,,,,,,,
10,9.5,11,184,234,2.6,2,1,16%,,,,,,,
5.6,4.3,3.9,540,404,1.5,3,1,-9%,,,,,,,
7.6,6.6,6.7,317,288,2.1,4,0,2%,,,,,,,
7.2,15,17,125,130,4.7,5,0,13%,,,,,,,
10,15,15,136,141,4.3,6,0,0%,,,,,,,
32,16,31,68,73,8.4,7,0,94%,,,,,,,
15,19,26,80,92,6.6,8,0,37%,,,,,,,
4.2,3.4,4.2,505,385,1.6,9,0,24%,,,,,,,
36,72,96,22,30,20,10,0,33%,,,,,,,
19,29,34,62,82,7.4,11,0,17%,,,,,,,
74,99,99,13,21,29,12,0,0%,,,,,,,
3.6,3.9,3.1,810,486,1.4,1,1,-21%,,,,,,,
19,23,16,151,165,4.3,2,1,-30%,,,,,,,
12,18,17,141,175,4,3,1,-6%,,,,,,,
7,4.6,4.5,554,404,1.7,4,0,-2%,,,,,,,
33,63,99,25,32,21,5,0,57%,,,,,,,
12,10,8.4,297,268,2.6,6,0,-16%,,,,,,,
14,18,23,105,96,7.4,7,0,28%,,,,,,,
14,43,66,37,41,16,8,0,53%,,,,,,,
6.2,9.5,11,220,259,2.7,9,0,16%,,,,,,,
7.4,4.6,7,354,333,2.1,10,0,52%,,,,,,,
8.4,7.6,7.4,339,321,2.2,11,0,-3%,,,,,,,
3.6,2.6,2.6,1047,684,1.3,1,1,0%,,,,,,,
18,9.7,11,230,270,3.3,2,1,13%,,,,,,,
5.6,4.5,3.8,705,573,1.6,3,1,-16%,,,,,,,
13,15,12,214,303,3,4,0,-20%,,,,,,,
4.2,18,22,120,177,5.1,5,0,22%,,,,,,,
63,99,99,22,37,23,6,0,0%,,,,,,,
18,10,14,182,278,3.2,7,0,40%,,,,,,,
14,11,10,270,325,2.7,8,0,-9%,,,,,,,
9.6,10,15,173,186,4.8,9,0,50%,,,,,,,
17,14,11,238,311,2.9,10,0,-21%,,,,,,,
36,79,99,20,31,28,11,0,25%,,,,,,,
14,41,37,73,102,8.8,12,0,-10%,,,,,,,
9.6,10,7.4,221,184,2.5,1,1,-26%,,,,,,,
3,2.9,3.6,448,284,1.6,2,1,24%,,,,,,,
8.9,10,13,121,165,2.8,3,1,30%,,,,,,,
4,3.1,3,538,284,1.6,4,0,-3%,,,,,,,
94,99,99,8,11,42,5,0,0%,,,,,,,
15,16,13,120,135,3.5,6,0,-19%,,,,,,,
79,81,95,17,26,17,7,0,17%,,,,,,,
19,20,19,85,112,4.2,8,0,-5%,,,,,,,
66,71,84,19,32,14,9,0,18%,,,,,,,
14,10,9.9,165,169,2.7,10,0,-1%,,,,,,,
36,53,36,44,67,6.9,11,0,-32%,,,,,,,
12,24,27,59,74,6.3,12,0,13%,,,,,,,
18,17,12,131,144,3.2,13,0,-29%,,,,,,,
62,92,99,12,18,25,14,0,8%,,,,,,,
6.2,6.4,7.6,186,185,2.3,1,1,19%,,,,,,,
6,3.9,3.4,412,310,1.4,2,1,-13%,,,,,,,
9.2,7.3,4.1,344,237,1.8,3,1,-44%,,,,,,,
9,9.8,14,100,91,4.8,4,0,43%,,,,,,,
19,30,53,26,34,12,5,0,77%,,,,,,,
